id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26771360,Habitación cómoda muy cerca de Atocha y Retiro,125961798,Arianna,Retiro,Pacífico,40.40215,-3.67499,Private room,26,1,269,2022-09-10,5.36,1,54,108,
26579896,Bonita habitación en Plaza Castilla,199863219,Jéssica Y Desi,Tetuán,Almenara,40.4716,-3.69105,Private room,33,2,8,2018-12-10,0.16,1,0,0,
26775195,MODERN DESIGN LOFT IN THE CENTER OF MADRID,201330639,Rove,Salamanca,Goya,40.42269,-3.67849,Entire home/apt,74,2,192,2022-08-23,3.80,1,63,57,
26582669,habitacion cerca del centro/habitacion individual,198546856,Luis,Latina,Lucero,40.40421,-3.75022,Private room,16,1,3,2020-03-07,0.10,1,0,0,
26796284,Habitación privada en el Rastro,20295911,Leire,Centro,Embajadores,40.40755,-3.7083,Private room,130,1,6,2022-05-29,0.58,1,89,6,
26583953,Apartamento turístico en Madrid,157968631,Eva,San Blas - Canillejas,Rejas,40.44349,-3.58368,Entire home/apt,150,2,0,,,1,0,0,
26585228,Double room in Plaza Castilla,21818979,Javier,Tetuán,Almenara,40.46547,-3.69493,Private room,50,1,0,,,1,0,0,
26800184,Cozy apartment - Madrid city center,19439691,Lorena,Centro,Embajadores,40.41035,-3.70586,Entire home/apt,78,10,43,2022-07-10,0.88,1,16,3,
26591408,FRONT ROYAL PALACE. BEST AREA OF MADRID,5700613,Andres,Centro,Palacio,40.418675991654226,-3.7119903976628246,Entire home/apt,119,1,77,2022-09-08,1.53,13,127,18,
26803926,Madrid  Einzelzimmer in WG,163132812,Michael,Arganzuela,Acacias,40.40487,-3.70352,Private room,25,7,9,2022-08-29,0.18,3,68,5,
26908729,Vintage Design Flat in Madrid center,1771095,Hans,Centro,Embajadores,40.40796,-3.6986,Entire home/apt,91,4,81,2022-09-07,1.61,5,317,27,VT-5060
26804839,Habitacion en alquiler,201562812,Joaquin,San Blas - Canillejas,Arcos,40.42365,-3.62196,Private room,350,1,0,,,1,180,0,
26915223,Habitaciones en el Centro de Madrid,79453537,Lida,Moncloa - Aravaca,Argüelles,40.42906,-3.72111,Private room,35,1,5,2018-08-12,0.10,2,0,0,
26915254,"Charming mini Duplex , 5' Walk  Museums & Theatres",6871745,Mar,Centro,Cortes,40.41827,-3.69884,Entire home/apt,60,182,0,,,2,0,0,
26805540,Visita Madrid.,40182052,Miguel,Carabanchel,Puerta Bonita,40.38280264597946,-3.7414180770160104,Private room,69,2,0,,,1,358,0,
26915512,Large 5 room apartment center,51564174,Álvaro & Tatiana,Centro,Universidad,40.42755,-3.70374,Entire home/apt,163,2,59,2020-03-02,1.21,21,0,0,VT-9204
26808935,Fantástica habitación. Conoce y disfruta Madrid,24299274,Vanessa,Usera,San Fermín,40.37048,-3.68848,Private room,31,5,6,2021-11-10,0.12,2,179,1,
26919684,Luxury And Design apartment in Chamberi,1154913,Javier,Chamberí,Trafalgar,40.43206,-3.70169,Entire home/apt,80,3,5,2022-04-03,0.83,1,198,5,
26809818,BARRIO DE SALAMANCA,201605043,Carmen,Salamanca,Lista,40.42918732917121,-3.6757215243355637,Entire home/apt,94,2,1,2022-07-10,0.46,1,344,1,
26934005,APARTAMENTO MODERNO Y NUEVO - GARAJE Y PISCINA,69566471,Javier,Carabanchel,Opañel,40.39535,-3.71612,Entire home/apt,158,2,2,2018-08-06,0.04,33,263,0,
26810169,IFEMA-Airport II Apartment,58180200,Apartamentos Ifema S.L.,Hortaleza,Pinar del Rey,40.47786,-3.64567,Entire home/apt,91,2,21,2022-07-04,0.44,8,66,3,VT-9249
26934824,NEW APARTMENT IN MADRID - GARAGE AND POOL,69566471,Javier,Carabanchel,Comillas,40.39343,-3.715,Entire home/apt,130,4,1,2018-08-30,0.02,33,263,0,
26812740,Diapason Lofts 3,199943183,Enrique,Tetuán,Bellas Vistas,40.45084,-3.70605,Entire home/apt,80,2,34,2022-08-15,0.67,20,130,21,
26939341,Exclusivo apartamento junto a Estación de Atocha,40877988,Raul,Arganzuela,Palos de Moguer,40.40665,-3.69271,Entire home/apt,101,2,125,2022-08-28,2.49,72,229,33,VT-9124
26814776,Modern Exclusive Design in Salamanca,596469,Gabriel Avalos,Salamanca,Guindalera,40.43237,-3.67104,Entire home/apt,170,1,28,2022-07-31,0.58,26,365,9,
26943308,Madrid Center Room,177513370,Cristian Angel,Arganzuela,Palos de Moguer,40.4035,-3.69183,Private room,41,3,98,2022-08-24,1.99,8,138,23,
26820244,Wonderful Apartament in Tirso de Molina,172334496,Rosa,Centro,Embajadores,40.41299,-3.70358,Entire home/apt,96,2,51,2022-08-13,1.01,3,122,21,
26944834,Bastardo Hostel Madrid - Bed in 4 people mixed dorm,189959417,Bastardo,Centro,Justicia,40.42642,-3.69907,Shared room,34,1,30,2022-07-04,0.60,8,113,7,B87103578
26826102,Remodeled Apartment Madrid / Piso Reformado Madrid,205558938,Marcello,Salamanca,Guindalera,40.4353,-3.66353,Entire home/apt,76,5,32,2020-03-16,0.66,1,115,0,VT-9505
26944931,Bastardo Hostel Madrid - Bed in 6 people dorm (women only),189959417,Bastardo,Centro,Justicia,40.42646,-3.70083,Shared room,31,1,110,2022-06-25,2.24,8,113,16,B87103578
26946206,Soul of Madrid,202746841,Fedor,Centro,Palacio,40.41329,-3.70942,Entire home/apt,96,2,49,2022-07-10,1.00,1,305,32,
26830349,Callao One - Madflats Collection,112373304,Daniel,Centro,Universidad,40.42073,-3.70536,Entire home/apt,441,1,56,2022-09-04,1.24,61,299,33,
26834171,"Double room in Chueca, with private bathroom F 11",132022481,Jorge,Centro,Justicia,40.42439,-3.70045,Private room,36,1,128,2020-03-08,2.59,35,0,0,
26946993,Double Room with balcony -  Roisa Hostal Boutique,198434043,Hostel Boutique,Chamartín,Hispanoamérica,40.45446,-3.67741,Private room,182,1,2,2019-04-19,0.04,3,360,0,""
26947331,Modern apartment in Madrid ready to occupy,35794102,Laura,Fuencarral - El Pardo,Pilar,40.47345,-3.70832,Entire home/apt,94,2,89,2022-07-11,2.03,1,70,36,
26835863,"Double room in Chueca, with private bathroom F 13",132022481,Jorge,Centro,Justicia,40.42247,-3.69996,Private room,40,1,171,2021-07-18,3.44,35,0,0,
26949461,Loft ensanche de Vallecas Madrid,200528882,DEnis,Villa de Vallecas,Casco Histórico de Vallecas,40.36625,-3.58427,Entire home/apt,50,2,5,2018-10-21,0.10,1,0,0,
26840108,Madrid Einzelzimmer in 4-er Wohnung,163132812,Michael,Arganzuela,Acacias,40.40358,-3.70174,Private room,25,10,3,2022-08-18,0.08,3,198,2,
26951188,"Centro - Wifi. Acogedor. 10m** Sol,  Atocha.",186665934,Javi,Centro,Embajadores,40.40963,-3.70074,Entire home/apt,59,2,235,2022-09-05,4.75,3,48,84,
26844795,Apartamento en el centro de  Madrid Rastro,8631882,Proarquinsa,Arganzuela,Acacias,40.40535,-3.70615,Entire home/apt,120,3,34,2022-06-24,0.69,5,88,3,VT-3344
26856605,"Fuencarral street room, private bathroom F 19",132022481,Jorge,Centro,Universidad,40.42382,-3.70192,Private room,36,1,134,2020-03-08,2.65,35,0,0,
26955116,SPACIOUS APARTMENT 4 BEDROOMS & 2 BATHROOMS,202820536,David,Chamberí,Trafalgar,40.42963,-3.70502,Entire home/apt,95,1,81,2020-01-26,1.61,1,0,0,VT-9002
26857807,Callao One (bis) - Madflats Collection,112373304,Daniel,Centro,Universidad,40.42093,-3.70508,Entire home/apt,435,1,65,2022-09-04,1.86,61,250,57,
26965193,Apartamento espacioso y tranquilo en Atocha,116066498,David,Arganzuela,Palos de Moguer,40.40263,-3.69396,Entire home/apt,55,3,1,2018-08-19,0.02,1,0,0,
26860511,Habitación doble. Cama XXL. Zona bien comunicada,48694846,Félix,Ciudad Lineal,Ventas,40.42607,-3.65323,Private room,35,1,42,2020-01-01,0.86,1,164,0,
26966737,Casa Blanca,27656917,David,Hortaleza,Canillas,40.46347,-3.65028,Entire home/apt,75,2,12,2020-02-29,0.29,1,0,0,
26862894,habitación cama doble,38948535,Josandi,Carabanchel,Vista Alegre,40.38939,-3.74093,Private room,120,1,0,,,1,365,0,
26866709,"Apartamento nuevo en Plaza Dos de Mayo, Malasaña",42998283,María,Centro,Universidad,40.42607,-3.70276,Entire home/apt,99,3,3,2022-07-11,0.21,1,10,1,
26969354,Luxury suite,30358377,Enrique,Tetuán,Almenara,40.46634,-3.6917,Entire home/apt,82,3,42,2022-09-11,0.88,2,357,23,
26870189,"El Coliseo...⚽️
Football Singleroom",195775776,María Jesus,Moratalaz,Fontarrón,40.40545,-3.65518,Private room,325,1,0,,,4,365,0,
26974999,Principe de Vergara IV,99018982,Juan Y Bea,Chamartín,Prosperidad,40.4413,-3.67751,Entire home/apt,268,1,9,2022-08-31,0.21,65,350,7,VT-9110
26871728,Charming Gran Vía - in the centre of Madrid,202102997,Inmaculada,Centro,Palacio,40.42103,-3.70801,Entire home/apt,225,1,6,2021-07-20,0.12,1,0,0,
26978768,"Double room in Chueca, with private bathroom F 10",132022481,Jorge,Centro,Universidad,40.42426,-3.70186,Private room,43,1,144,2021-07-10,2.88,35,0,0,
26981430,A 15' del centro. Private Single Room.,203003398,Christian,Carabanchel,Vista Alegre,40.38932,-3.74311,Private room,26,5,11,2019-08-21,0.26,2,0,0,
26879953,Feel at home on your holiday,1790942,Lizzy And Jesse,Usera,Moscardó,40.38589,-3.71274,Entire home/apt,84,2,1,2018-12-21,0.02,1,0,0,
26986993,Habitación privada en piso céntrico y tranquilo,39247269,Ernesto,Centro,Embajadores,40.40933,-3.69456,Private room,45,2,3,2022-07-12,0.06,1,0,1,
26987062,Habitación cama matrimonio cerca del centro.,186568089,Emi,Carabanchel,San Isidro,40.39739,-3.71711,Private room,17,1,0,,,1,0,0,
26989244,CENTRAL APARTMENT WITH TERRACE,101930506,Julia,Arganzuela,Delicias,40.39475,-3.69451,Entire home/apt,65,3,25,2020-03-15,0.51,7,32,0,
26880934,Beautiful attic-studio with terrace in La Latina,53617036,Bruno,Centro,Embajadores,40.41094,-3.70807,Entire home/apt,50,3,7,2020-01-02,0.14,1,0,0,
26990662,🏵MALASAÑA - Amazing & Brand New & Clean,202764267,Victoria & Dani,Centro,Universidad,40.42392,-3.70351,Entire home/apt,95,2,147,2022-08-15,2.91,1,58,25,
26886339,Ático soleado en calle princesa arguelles,16921811,Santiago,Moncloa - Aravaca,Argüelles,40.43082,-3.71749,Entire home/apt,95,12,0,,,2,0,0,
26887627,Double Room+ (Queen-Size Bed)/Madrid-Ciudad Lineal,202247429,Héctor,Ciudad Lineal,Concepción,40.442,-3.64176,Private room,19,15,10,2018-10-28,0.20,1,0,0,
26991190,Plaza Toros Las Ventas & 13 min Centro - Parking,3487349,Talal,Ciudad Lineal,Ventas,40.4252,-3.65086,Entire home/apt,94,2,115,2020-11-01,2.28,2,38,0,
26892159,"GRAN VIA MADRID, Modern Apartment Gran Via 2 ppl",115534677,Loredana,Centro,Justicia,40.41917,-3.69721,Entire home/apt,81,1,266,2022-09-03,5.26,1,147,76,
26992478,STUDIO APARTMENT IN MALASAÑA. LONG TERM AVAILABLE,1496172,Marta,Centro,Universidad,40.42502,-3.70497,Entire home/apt,53,7,14,2022-09-04,0.84,4,179,11,VFT/CA/00609
26904127,Apartamento Moderno y Limpio con Piscina en Madrid,69566471,Javier,Carabanchel,Opañel,40.39323,-3.71615,Entire home/apt,68,1,1,2022-08-28,1,33,263,1,
27005230,Habitacion economica cama grande centro Madrid,199036370,H.Benavent E Hijos,Centro,Palacio,40.42148,-3.70914,Private room,35,3,1,2018-08-20,0.02,26,0,0,
26904642,Apartamento Moderno de 3 habitaciones con Parking,69566471,Javier,Carabanchel,Opañel,40.39261,-3.71641,Entire home/apt,75,2,0,,,33,263,0,
27008049,Habitación exterior Plaza Mayor Madrid,112271726,Mario,Centro,Sol,40.41533,-3.70675,Private room,20,14,5,2022-09-01,0.13,62,0,3,
26905437,APARTAMENTO NUEVO CON PISCINA Y GARAJE PRIVADO.,69566471,Javier,Carabanchel,Comillas,40.39389,-3.71509,Entire home/apt,99,2,1,2019-06-07,0.03,33,263,0,
27178837,"*Plaza Mayor & La Latina: Awesome, Cool, Beautiful",12631821,Dani Y Pati,Centro,Palacio,40.41115,-3.70923,Entire home/apt,95,1,171,2022-09-07,3.45,10,71,37,
27013055,2 habitaciones Doble en un piso IDEAL de Malasaña.,18653211,Clémence,Centro,Universidad,40.42367,-3.70076,Private room,18,1,1,2018-08-17,0.02,1,0,0,
27180274,"*Plaza Mayor & La Latina: Cool, Cute, New & Aire A",14583316,Lucía Y Dani,Centro,Embajadores,40.40941,-3.7077,Entire home/apt,95,1,190,2022-08-28,3.82,2,70,50,
27020433,Madrid Centric II - Madflats Collection,112373304,Daniel,Centro,Embajadores,40.41291,-3.70606,Entire home/apt,286,1,18,2022-08-26,0.42,61,301,13,
27021442,"CASA RAMOS, habitación con baño privado en chueca",194967006,Ernesto,Centro,Justicia,40.42333,-3.6994,Private room,50,2,97,2022-09-07,2.20,1,44,42,
27187208,ROOM CHICK,25601630,Nancy,Latina,Puerta del Angel,40.40958,-3.73856,Private room,40,7,4,2022-06-18,0.11,3,346,3,
27187514,habitacion por meses,6637077,Jesus,Latina,Puerta del Angel,40.41168,-3.7262,Private room,9000,800,0,,,2,365,0,
27022335,Apartamento alto standing,203309406,Ana,Moncloa - Aravaca,Valdemarín,40.468,-3.77006,Private room,43,3,0,,,1,358,0,
27193905,HABITACION EN MADRID,25601630,Nancy,Ciudad Lineal,Pueblo Nuevo,40.42757,-3.63773,Private room,50,30,3,2019-11-20,0.06,3,363,0,
27022584,Cozy Apartment in Madrid,37795443,Ruben,Chamberí,Vallehermoso,40.43915,-3.7152,Private room,700,1,3,2018-09-06,0.06,1,0,0,
27194034,Loft En Madrid,183400172,Stephanie,Arganzuela,Palos de Moguer,40.40513,-3.69081,Entire home/apt,78,2,9,2019-03-10,0.19,1,0,0,
27023118,"HEART OF MADRID, Modern apartment, Chueca 4 ppl",203316524,Danielle,Centro,Justicia,40.41926,-3.6967,Entire home/apt,95,1,341,2022-09-07,6.76,2,143,94,
27024250,Piso 3 habs en PONZANO súper luminoso,45621438,Miguel,Chamberí,Rios Rosas,40.44166,-3.70064,Entire home/apt,164,2,55,2022-08-01,1.10,20,22,22,
27199836,Cómodo piso Estudio cerca metro Gran Vía Madrid,201896956,Emmanuell,Centro,Justicia,40.4205,-3.70129,Entire home/apt,52,1,222,2022-08-29,4.69,2,325,75,
27025972,Madrid Cozy & city center. Wifi and A/C,14714896,Ana Y Omaira,Centro,Embajadores,40.41016,-3.70197,Entire home/apt,50,2,242,2022-09-08,4.86,2,44,73,
27199898,Penthouse with terrace in Guindalera,204767786,Laurent,Salamanca,Guindalera,40.43502,-3.66907,Entire home/apt,71,6,41,2022-08-02,0.83,1,284,15,VT-8266
27028034,CoV19 Free Stunning Urban Apt. Historic District,4975799,Kristian,Centro,Cortes,40.41499,-3.70232,Entire home/apt,116,1,243,2022-09-01,4.82,14,341,45,
27201391,Habitación privada en piso compartido,86047339,Hanna,Centro,Universidad,40.42787,-3.70574,Private room,20,5,1,2018-09-03,0.02,1,0,0,
27041452,Chamberí III,99018982,Juan Y Bea,Chamberí,Arapiles,40.43232,-3.70572,Entire home/apt,187,1,10,2022-01-28,0.22,65,351,3,VT-9100
27041718,"Double room in Chueca, with private bathroom F 12",132022481,Jorge,Centro,Universidad,40.42226,-3.70142,Private room,40,1,152,2021-07-12,3.07,35,0,0,
27213990,"Quiet double, priv. bath, metro, buses Matadero",33764591,Julia,Arganzuela,Chopera,40.39467,-3.6982,Private room,56,2,145,2022-08-20,2.93,1,33,44,
27042508,"Mola! SOL, 1 Bedroom Apartment, WIFI, AC",71435660,Mola Suites,Centro,Embajadores,40.41418,-3.70381,Entire home/apt,104,2,8,2022-01-04,0.17,4,103,1,
27214449,HOMEABOUT PUERTA DEL SOL APARTMENT,17499500,Homeabout,Centro,Sol,40.4162269,-3.7060121,Entire home/apt,110,1,74,2022-08-28,1.49,74,305,30,VT-9031
27042559,"Mola! SOL, Superior 1 Bedroom Apartment, WIFI, AC",71435660,Mola Suites,Centro,Embajadores,40.41418,-3.70381,Entire home/apt,110,3,30,2020-01-19,0.61,4,103,0,
27214598,Acogedor y espacioso apartamento con dos cuartos,1807150,Alberto,Centro,Embajadores,40.41045,-3.70543,Entire home/apt,96,3,32,2022-07-08,0.64,1,45,13,
27042943,"Mola! SOL, Standard 2 Bedroom Apartment, WIFI, AC",71435660,Mola Suites,Centro,Embajadores,40.41418,-3.70381,Entire home/apt,150,3,8,2022-01-07,0.16,4,103,1,
27047777,Gran Vía Plaza - Madflats Collection,112373304,Daniel,Centro,Universidad,40.42265,-3.7093,Entire home/apt,302,1,39,2022-08-30,0.80,61,294,14,
27216325,Cosy apartment in Lavapies -2PAX- 25m2,195804574,Daniel,Centro,Embajadores,40.40848,-3.69874,Entire home/apt,79,4,56,2022-08-31,1.26,1,61,30,
27222028,Bastardo Hostel Madrid - Bed in 6 people mixed dorm,189959417,Bastardo,Centro,Justicia,40.4265,-3.69931,Shared room,30,1,175,2022-09-03,3.60,8,113,77,B87103578
27051315,Luxury 1-bedroom flat Chueca- Available long-term,203530785,Mikaella,Centro,Justicia,40.42367,-3.69837,Entire home/apt,79,60,36,2021-05-09,0.75,1,0,0,VT-9265
27222530,SOL,204908055,Primigenia Pinoso,Centro,Sol,40.41639,-3.70233,Entire home/apt,100,3,21,2022-08-31,0.51,2,73,14,VT-766
27052530,Habitación Azul,79453537,Lida,Moncloa - Aravaca,Argüelles,40.42847,-3.721,Private room,30,1,2,2018-09-01,0.04,2,0,0,
27052854,Gran Vía Boutique by Madflats Collection,112373304,Daniel,Centro,Palacio,40.42216,-3.70901,Entire home/apt,309,1,37,2022-09-03,0.74,61,286,30,
27224258,Apartamento interior centro madrid,199036370,H.Benavent E Hijos,Centro,Palacio,40.42311,-3.71049,Entire home/apt,150,3,0,,,26,0,0,
27053569,"Apartamento de 70m2 en Lavapiés, centro de Madrid",34791891,Marcelo,Centro,Embajadores,40.40813,-3.69946,Entire home/apt,180,3,61,2022-06-26,1.21,1,361,21,
27230520,马德里景点旁交通便利，3号6号地铁直通太阳门广场市中心，大型商场餐厅酒吧超市公园，房东可提供旅游帮助,205077326,Jia,Usera,Moscardó,40.38898,-3.69905,Private room,17,1,2,2018-09-11,0.04,1,0,0,
27054553,CENTRO DE MADRID a pasos de todo /WIFI-AA,27751431,Familia Ojeda,Centro,Embajadores,40.41181,-3.70282,Entire home/apt,100,3,79,2022-08-21,1.61,1,95,8,
27240417,Sercotel Togumar - Double/Twin Room,93872511,Apartamentos Sercotel Togumar,Chamartín,Ciudad Jardín,40.445,-3.67331,Hotel room,138,1,3,2022-04-30,0.06,4,323,2,
27064741,Excelente apartament in Madrid Sol & Granvia,203656100,Himel,Centro,Sol,40.41859,-3.70231,Entire home/apt,35,15,75,2020-02-01,1.50,1,1,0,
27240518,Sercotel Togumar - Superior Room,93872511,Apartamentos Sercotel Togumar,Chamartín,Prosperidad,40.44279,-3.67163,Hotel room,153,1,1,2022-01-22,0.13,4,322,1,
27066292,The Bridge Huertas Hostel - Single room – 3,200964141,Hostal,Centro,Embajadores,40.41271,-3.70284,Hotel room,73,2,58,2022-08-25,1.27,8,275,24,
27240605,Sercotel Togumar - Triple Room,93872511,Apartamentos Sercotel Togumar,Chamartín,Prosperidad,40.44279,-3.67346,Hotel room,176,1,1,2022-09-06,1,4,322,1,
27240646,Sercotel Togumar - Family Room,93872511,Apartamentos Sercotel Togumar,Chamartín,Prosperidad,40.4445,-3.67342,Hotel room,199,1,1,2021-12-28,0.12,4,0,1,
27241406,Apartamento entero con chimenea en Madrid,34515607,Daniel,Chamartín,Prosperidad,40.44219,-3.67501,Entire home/apt,50,5,9,2019-01-03,0.19,1,0,0,
